Customer_ID,Customer_Type,Age,Annual_Income,Account_Type,Risk_Level,Branch_ID,RM_ID
C00001,Individual,52.0,90708,Savings,Low,B009,RM018
C00002,Individual,71.0,83665,Savings,Low,B006,RM013
C00003,Individual,31.0,117170,Premium,Low,B008,RM017
C00004,Business,,137452,Business,Medium,B009,RM019
C00005,Individual,55.0,78242,Savings,Low,B003,RM006
C00006,Individual,66.0,21592,Savings,Low,B007,RM014
C00007,Individual,42.0,70674,Savings,High,B001,RM001
C00008,Individual,61.0,97486,Current,Low,B005,RM010
C00009,Individual,18.0,177399,Current,High,B003,RM007
C00010,Business,,612942,Current,Medium,B004,RM009
C00011,Individual,28.0,74757,Premium,Medium,B008,RM017
C00012,Individual,41.0,100153,Savings,Low,B010,RM020
C00013,Individual,49.0,114911,Current,Low,B008,RM016
C00014,Individual,51.0,107730,Premium,High,B004,RM008
C00015,Individual,60.0,68711,Premium,Low,B004,RM008
C00016,Individual,19.0,55080,Current,Low,B001,RM002
C00017,Individual,20.0,84643,Savings,Low,B008,RM016
C00018,Individual,64.0,117423,Current,Low,B008,RM017
C00019,Individual,24.0,63219,Savings,Low,B001,RM001
C00020,Individual,59.0,31193,Current,Medium,B002,RM005
C00021,Individual,52.0,67648,Savings,Low,B002,RM004
C00022,Business,,402664,Business,High,B001,RM001
C00023,Business,,474389,Business,Medium,B007,RM015
C00024,Individual,18.0,137380,Premium,Medium,B005,RM011
C00025,Individual,64.0,156422,Current,Medium,B004,RM009
C00026,Individual,21.0,75533,Savings,Low,B001,RM003
C00027,Individual,72.0,43727,Premium,Low,B003,RM007
C00028,Individual,61.0,106461,Savings,High,B004,RM009
C00029,Individual,57.0,39540,Current,Low,B005,RM010
C00030,Individual,38.0,30969,Savings,Low,B008,RM016
C00031,Business,,1039071,Business,High,B002,RM004
C00032,Individual,50.0,62872,Premium,Medium,B006,RM012
C00033,Individual,71.0,59825,Current,High,B009,RM018
C00034,Individual,53.0,46788,Premium,Low,B002,RM005
C00035,Individual,27.0,79638,Savings,Low,B005,RM010
C00036,Individual,75.0,83329,Savings,Medium,B005,RM010
C00037,Individual,67.0,26583,Savings,Low,B007,RM015
C00038,Individual,22.0,89768,Savings,Medium,B010,RM021
C00039,Individual,26.0,29948,Premium,Medium,B001,RM003
C00040,Individual,33.0,63178,Current,Medium,B007,RM014
C00041,Individual,33.0,91603,Premium,Low,B006,RM013
C00042,Business,,560222,Business,High,B002,RM004
C00043,Business,,533238,Business,High,B006,RM013
C00044,Business,,533752,Business,Medium,B006,RM013
C00045,Business,,2170735,Business,Medium,B009,RM019
C00046,Business,,57118,Business,High,B005,RM010
C00047,Individual,45.0,60557,Savings,High,B002,RM005
C00048,Business,,42908,Current,Medium,B009,RM018
C00049,Individual,65.0,92912,Savings,Low,B006,RM012
C00050,Individual,72.0,27840,Savings,Low,B006,RM013
C00051,Individual,53.0,31777,Current,Low,B003,RM006
C00052,Individual,43.0,40026,Savings,Low,B010,RM021
C00053,Individual,47.0,54005,Savings,Medium,B003,RM007
C00054,Individual,50.0,61966,Savings,High,B004,RM008
C00055,Individual,69.0,18800,Savings,High,B010,RM021
C00056,Individual,74.0,52742,Current,Low,B007,RM015
C00057,Individual,62.0,21492,Current,Low,B009,RM019
C00058,Individual,33.0,87953,Savings,Medium,B009,RM018
C00059,Individual,66.0,113081,Savings,High,B008,RM016
C00060,Individual,48.0,56203,Current,Low,B009,RM018
C00061,Individual,35.0,58725,Savings,Low,B009,RM018
C00062,Individual,32.0,50014,Current,Low,B007,RM015
C00063,Individual,44.0,31767,Savings,Medium,B001,RM001
C00064,Individual,18.0,99569,Current,High,B007,RM014
C00065,Individual,52.0,94453,Savings,Low,B008,RM017
C00066,Individual,60.0,66497,Current,Medium,B003,RM007
C00067,Individual,43.0,41776,Savings,Low,B008,RM016
C00068,Individual,42.0,69799,Savings,Medium,B007,RM014
C00069,Individual,71.0,45367,Savings,Medium,B001,RM003
C00070,Individual,22.0,82638,Current,High,B004,RM009
C00071,Individual,33.0,39936,Savings,Medium,B008,RM016
C00072,Individual,41.0,37898,Premium,Low,B003,RM007
C00073,Individual,19.0,117735,Current,High,B007,RM015
C00074,Individual,55.0,55915,Savings,Medium,B010,RM020
C00075,Individual,54.0,102754,Savings,Medium,B002,RM005
C00076,Individual,18.0,112125,Savings,High,B008,RM016
C00077,Individual,29.0,97700,Current,High,B008,RM016
C00078,Individual,64.0,61122,Premium,Medium,B002,RM005
C00079,Business,,70455,Business,High,B006,RM013
C00080,Individual,38.0,24950,Savings,Low,B005,RM011
C00081,Individual,35.0,73857,Premium,Low,B007,RM015
C00082,Individual,33.0,72166,Savings,Low,B005,RM010
C00083,Individual,33.0,78112,Savings,Medium,B006,RM012
C00084,Business,,192225,Current,Medium,B005,RM011
C00085,Individual,30.0,75118,Premium,Medium,B004,RM008
C00086,Individual,35.0,114382,Current,High,B004,RM008
C00087,Individual,29.0,75005,Savings,Low,B001,RM002
C00088,Individual,26.0,72170,Savings,Low,B005,RM010
C00089,Individual,39.0,19683,Savings,Medium,B002,RM004
C00090,Individual,22.0,43513,Savings,Medium,B005,RM011
C00091,Business,,90098,Business,Medium,B010,RM020
C00092,Individual,42.0,69014,Savings,Medium,B007,RM015
C00093,Individual,21.0,46503,Premium,Low,B004,RM008
C00094,Individual,28.0,36087,Savings,Low,B008,RM017
C00095,Individual,36.0,27440,Current,Low,B008,RM017
C00096,Individual,34.0,118652,Current,High,B007,RM014
C00097,Individual,59.0,26704,Current,Low,B003,RM007
C00098,Individual,70.0,58914,Savings,Low,B005,RM010
C00099,Individual,35.0,72361,Savings,Medium,B007,RM015
C00100,Individual,34.0,25501,Premium,Medium,B010,RM021
C00101,Business,,3819753,Current,Medium,B003,RM006
C00102,Individual,46.0,91894,Premium,Medium,B008,RM016
C00103,Individual,44.0,46855,Premium,Low,B008,RM016
C00104,Individual,43.0,116051,Savings,Low,B005,RM010
C00105,Individual,67.0,73724,Current,Low,B009,RM018
C00106,Individual,30.0,72669,Current,Medium,B004,RM008
C00107,Individual,36.0,71766,Savings,High,B010,RM020
C00108,Individual,37.0,76192,Savings,Low,B002,RM004
C00109,Business,,140362,Business,High,B009,RM019
C00110,Individual,71.0,70947,Savings,Medium,B007,RM014
C00111,Business,,135784,Current,Medium,B007,RM015
C00112,Business,,100672,Business,Medium,B010,RM021
C00113,Business,,138953,Business,Medium,B006,RM012
C00114,Individual,42.0,61088,Premium,High,B004,RM009
C00115,Individual,72.0,82860,Savings,Medium,B007,RM014
C00116,Business,,983691,Premium,Medium,B001,RM002
C00117,Individual,55.0,46577,Premium,Low,B009,RM018
C00118,Individual,27.0,50116,Savings,Medium,B005,RM011
C00119,Individual,43.0,61532,Premium,Medium,B007,RM015
C00120,Individual,74.0,115456,Savings,Low,B005,RM010
C00121,Individual,45.0,169831,Current,High,B008,RM016
C00122,Individual,75.0,28629,Current,Low,B006,RM012
C00123,Individual,51.0,51800,Savings,Low,B007,RM015
C00124,Individual,49.0,89379,Savings,Medium,B008,RM016
C00125,Individual,75.0,98850,Current,Low,B008,RM016
C00126,Business,,67807,Current,Medium,B005,RM011
C00127,Business,,411834,Business,Medium,B010,RM020
C00128,Business,,94397,Current,Medium,B010,RM021
C00129,Individual,21.0,112553,Current,High,B004,RM008
C00130,Business,,52460,Current,High,B003,RM006
C00131,Individual,58.0,60246,Current,Low,B006,RM013
C00132,Individual,36.0,67230,Savings,Low,B009,RM019
C00133,Individual,35.0,96840,Premium,High,B005,RM010
C00134,Business,,791081,Premium,Medium,B004,RM009
C00135,Individual,43.0,172729,Current,Low,B007,RM014
C00136,Individual,25.0,57181,Current,Medium,B006,RM012
C00137,Individual,48.0,36396,Savings,Low,B002,RM005
C00138,Business,,616869,Current,Medium,B001,RM003
C00139,Individual,49.0,25693,Premium,Low,B008,RM017
C00140,Individual,65.0,75402,Savings,Medium,B003,RM007
C00141,Individual,71.0,66746,Premium,Low,B006,RM013
C00142,Individual,33.0,86511,Premium,Low,B006,RM013
C00143,Individual,30.0,175576,Current,Low,B004,RM009
C00144,Individual,19.0,28928,Savings,Low,B010,RM020
C00145,Individual,66.0,78429,Savings,Medium,B006,RM013
C00146,Individual,56.0,22741,Premium,Low,B003,RM006
C00147,Individual,19.0,29738,Current,Low,B006,RM013
C00148,Individual,21.0,31794,Savings,Low,B008,RM017
C00149,Individual,50.0,69622,Savings,High,B001,RM001
C00150,Individual,73.0,59767,Savings,High,B001,RM003
C00151,Business,,128301,Business,High,B002,RM004
C00152,Individual,27.0,27011,Current,Low,B006,RM013
C00153,Business,,218938,Business,Medium,B002,RM004
C00154,Individual,67.0,54091,Savings,Medium,B007,RM015
C00155,Business,,291263,Business,Medium,B005,RM011
C00156,Business,,224326,Business,High,B002,RM005
C00157,Individual,65.0,48527,Current,Medium,B009,RM019
C00158,Individual,25.0,67717,Premium,Medium,B005,RM011
C00159,Individual,24.0,53942,Savings,Low,B002,RM004
C00160,Business,,299912,Business,Medium,B007,RM014
C00161,Business,,943378,Current,Medium,B010,RM020
C00162,Business,,51823,Business,High,B006,RM013
C00163,Individual,73.0,39539,Savings,Low,B001,RM003
C00164,Individual,31.0,69730,Savings,Low,B006,RM013
C00165,Individual,74.0,23158,Current,Low,B002,RM005
C00166,Individual,45.0,68969,Savings,Low,B009,RM018
C00167,Individual,25.0,78871,Savings,Medium,B001,RM002
C00168,Individual,56.0,24698,Savings,Low,B003,RM007
C00169,Individual,25.0,32111,Savings,Low,B004,RM008
C00170,Individual,60.0,84723,Savings,Medium,B007,RM015
C00171,Individual,22.0,117732,Savings,Medium,B007,RM014
C00172,Individual,19.0,131263,Current,Medium,B006,RM012
C00173,Individual,24.0,37296,Savings,Low,B005,RM010
C00174,Individual,39.0,85005,Savings,Low,B009,RM018
C00175,Business,,290678,Premium,Medium,B003,RM007
C00176,Individual,34.0,37739,Savings,Medium,B002,RM005
C00177,Business,,221622,Current,High,B008,RM017
C00178,Business,,266539,Premium,Medium,B006,RM012
C00179,Individual,48.0,59845,Current,Medium,B006,RM013
C00180,Individual,47.0,43728,Savings,Low,B002,RM005
C00181,Individual,42.0,76327,Premium,Medium,B001,RM001
C00182,Business,,149345,Business,Medium,B003,RM006
C00183,Individual,69.0,102507,Premium,Low,B003,RM007
C00184,Individual,46.0,154345,Savings,Low,B006,RM012
C00185,Individual,67.0,79183,Savings,Medium,B006,RM012
C00186,Individual,53.0,58621,Savings,Medium,B010,RM020
C00187,Individual,55.0,62925,Savings,Medium,B007,RM014
C00188,Individual,23.0,64686,Current,Low,B003,RM007
C00189,Individual,65.0,179798,Savings,Medium,B007,RM014
C00190,Individual,41.0,54037,Savings,Medium,B004,RM008
C00191,Business,,59385,Current,Medium,B009,RM018
C00192,Business,,62070,Current,Medium,B010,RM020
C00193,Individual,29.0,90848,Current,Low,B006,RM012
C00194,Individual,46.0,69420,Savings,Low,B008,RM016
C00195,Individual,54.0,150256,Current,Medium,B009,RM019
C00196,Individual,28.0,119627,Savings,Low,B008,RM017
C00197,Individual,24.0,113810,Premium,Low,B003,RM007
C00198,Individual,50.0,32335,Savings,Medium,B008,RM017
C00199,Business,,203928,Business,Medium,B002,RM004
C00200,Individual,38.0,101973,Current,Low,B005,RM010
