Review_ID,Application_ID,Customer_ID,Review_Date,Reviewer,Review_Type,Outcome,Review_Duration_Days,Review_Notes
REV00001,APP00004,C00004,2025-09-06,Antti Laine,Enhanced Due Diligence,Approved,4,Compliance review completed successfully.
REV00002,APP00011,C00011,2025-04-03,Janne Koskinen,KYC,Approved,3,Compliance review completed successfully.
REV00003,APP00031,C00031,2025-09-22,Maria Heikkinen,KYC,Approved,12,Compliance review completed successfully.
REV00004,APP00038,C00038,2025-05-30,Sanna Virtanen,KYC,Approved,6,Compliance review completed successfully.
REV00005,APP00042,C00042,2025-06-16,Janne Koskinen,KYC,Further Review,6,Additional documentation or review required.
REV00006,APP00055,C00055,2025-10-15,Laura Nieminen,Enhanced Due Diligence,Approved,11,Compliance review completed successfully.
REV00007,APP00065,C00065,2025-09-10,Laura Nieminen,Sanctions Screening,Approved,6,Compliance review completed successfully.
REV00008,APP00077,C00077,2025-05-16,Laura Nieminen,AML,Rejected,11,Compliance concerns identified during review.
REV00009,APP00084,C00084,2025-04-28,Maria Heikkinen,AML,Further Review,5,Additional documentation or review required.
REV00010,APP00098,C00098,2025-09-08,Janne Koskinen,AML,Approved,5,Compliance review completed successfully.
REV00011,APP00107,C00107,2025-01-06,Maria Heikkinen,KYC,Approved,10,Compliance review completed successfully.
REV00012,APP00112,C00112,2025-01-30,Laura Nieminen,Enhanced Due Diligence,Further Review,7,Additional documentation or review required.
REV00013,APP00114,C00114,2025-11-27,Sanna Virtanen,KYC,Rejected,8,Compliance concerns identified during review.
REV00014,APP00119,C00119,2025-10-02,Antti Laine,KYC,Further Review,6,Additional documentation or review required.
REV00015,APP00122,C00122,2025-08-25,Antti Laine,Enhanced Due Diligence,Approved,2,Compliance review completed successfully.
REV00016,APP00127,C00127,2025-01-06,Sanna Virtanen,Enhanced Due Diligence,Rejected,9,Compliance concerns identified during review.
REV00017,APP00128,C00128,2025-07-01,Maria Heikkinen,Enhanced Due Diligence,Rejected,8,Compliance concerns identified during review.
REV00018,APP00137,C00137,2025-08-24,Janne Koskinen,Enhanced Due Diligence,Further Review,3,Additional documentation or review required.
REV00019,APP00142,C00142,2025-01-22,Janne Koskinen,Sanctions Screening,Approved,2,Compliance review completed successfully.
REV00020,APP00161,C00161,2025-07-10,Maria Heikkinen,Enhanced Due Diligence,Approved,4,Compliance review completed successfully.
REV00021,APP00162,C00162,2025-09-01,Sanna Virtanen,Enhanced Due Diligence,Approved,12,Compliance review completed successfully.
REV00022,APP00177,C00177,2025-02-12,Laura Nieminen,AML,Further Review,13,Additional documentation or review required.
REV00023,APP00219,C00219,2025-08-15,Mikko Korhonen,Sanctions Screening,Rejected,8,Compliance concerns identified during review.
REV00024,APP00220,C00220,2025-03-27,Sanna Virtanen,KYC,Approved,6,Compliance review completed successfully.
REV00025,APP00227,C00227,2025-01-07,Janne Koskinen,Enhanced Due Diligence,Approved,4,Compliance review completed successfully.
REV00026,APP00233,C00233,2025-05-13,Maria Heikkinen,KYC,Further Review,12,Additional documentation or review required.
REV00027,APP00240,C00240,2025-08-02,Sanna Virtanen,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00028,APP00243,C00243,2025-05-13,Laura Nieminen,AML,Approved,4,Compliance review completed successfully.
REV00029,APP00244,C00244,2025-05-23,Mikko Korhonen,KYC,Approved,6,Compliance review completed successfully.
REV00030,APP00247,C00247,2025-12-28,Janne Koskinen,KYC,Approved,3,Compliance review completed successfully.
REV00031,APP00251,C00251,2025-12-28,Antti Laine,AML,Approved,10,Compliance review completed successfully.
REV00032,APP00311,C00311,2025-06-21,Sanna Virtanen,KYC,Approved,7,Compliance review completed successfully.
REV00033,APP00315,C00315,2025-04-14,Janne Koskinen,Enhanced Due Diligence,Further Review,9,Additional documentation or review required.
REV00034,APP00332,C00332,2025-10-29,Mikko Korhonen,AML,Approved,10,Compliance review completed successfully.
REV00035,APP00340,C00340,2025-06-28,Laura Nieminen,KYC,Approved,9,Compliance review completed successfully.
REV00036,APP00341,C00341,2025-05-11,Sanna Virtanen,Enhanced Due Diligence,Rejected,6,Compliance concerns identified during review.
REV00037,APP00358,C00358,2025-05-25,Mikko Korhonen,KYC,Approved,8,Compliance review completed successfully.
REV00038,APP00367,C00367,2025-09-26,Laura Nieminen,Enhanced Due Diligence,Rejected,13,Compliance concerns identified during review.
REV00039,APP00382,C00382,2025-09-06,Janne Koskinen,KYC,Approved,7,Compliance review completed successfully.
REV00040,APP00388,C00388,2025-10-16,Sanna Virtanen,AML,Approved,4,Compliance review completed successfully.
REV00041,APP00404,C00404,2025-06-06,Janne Koskinen,AML,Further Review,8,Additional documentation or review required.
REV00042,APP00436,C00436,2025-02-09,Mikko Korhonen,KYC,Approved,9,Compliance review completed successfully.
REV00043,APP00440,C00440,2025-06-27,Antti Laine,KYC,Approved,10,Compliance review completed successfully.
REV00044,APP00453,C00453,2025-08-10,Laura Nieminen,Enhanced Due Diligence,Approved,9,Compliance review completed successfully.
REV00045,APP00458,C00458,2025-09-26,Laura Nieminen,KYC,Approved,14,Compliance review completed successfully.
REV00046,APP00459,C00459,2025-02-14,Janne Koskinen,AML,Rejected,6,Compliance concerns identified during review.
REV00047,APP00465,C00465,2025-01-25,Sanna Virtanen,Sanctions Screening,Further Review,9,Additional documentation or review required.
REV00048,APP00486,C00486,2025-01-24,Maria Heikkinen,KYC,Approved,13,Compliance review completed successfully.
REV00049,APP00497,C00497,2025-03-27,Antti Laine,AML,Approved,5,Compliance review completed successfully.
REV00050,APP00499,C00499,2025-05-09,Antti Laine,Enhanced Due Diligence,Approved,7,Compliance review completed successfully.
REV00051,APP00505,C00505,2025-07-28,Antti Laine,KYC,Further Review,3,Additional documentation or review required.
REV00052,APP00523,C00523,2025-04-04,Janne Koskinen,Enhanced Due Diligence,Further Review,9,Additional documentation or review required.
REV00053,APP00531,C00531,2025-06-11,Janne Koskinen,Enhanced Due Diligence,Approved,10,Compliance review completed successfully.
REV00054,APP00536,C00536,2025-05-31,Janne Koskinen,AML,Approved,8,Compliance review completed successfully.
REV00055,APP00552,C00552,2025-11-04,Sanna Virtanen,Enhanced Due Diligence,Approved,4,Compliance review completed successfully.
REV00056,APP00563,C00563,2025-04-25,Laura Nieminen,KYC,Approved,7,Compliance review completed successfully.
REV00057,APP00584,C00584,2025-08-20,Maria Heikkinen,KYC,Approved,10,Compliance review completed successfully.
REV00058,APP00599,C00599,2025-03-22,Sanna Virtanen,KYC,Approved,7,Compliance review completed successfully.
REV00059,APP00606,C00606,2025-01-19,Mikko Korhonen,Enhanced Due Diligence,Approved,7,Compliance review completed successfully.
REV00060,APP00614,C00614,2025-06-28,Sanna Virtanen,Sanctions Screening,Further Review,5,Additional documentation or review required.
REV00061,APP00619,C00619,2025-11-10,Maria Heikkinen,Sanctions Screening,Further Review,8,Additional documentation or review required.
REV00062,APP00620,C00620,2025-02-04,Janne Koskinen,Sanctions Screening,Approved,3,Compliance review completed successfully.
REV00063,APP00624,C00624,2025-06-09,Janne Koskinen,Enhanced Due Diligence,Further Review,9,Additional documentation or review required.
REV00064,APP00655,C00655,2025-08-24,Maria Heikkinen,KYC,Approved,12,Compliance review completed successfully.
REV00065,APP00657,C00657,2025-10-31,Mikko Korhonen,AML,Rejected,8,Compliance concerns identified during review.
REV00066,APP00672,C00672,2025-05-15,Maria Heikkinen,AML,Further Review,8,Additional documentation or review required.
REV00067,APP00685,C00685,2025-04-20,Mikko Korhonen,KYC,Approved,7,Compliance review completed successfully.
REV00068,APP00699,C00699,2025-11-24,Maria Heikkinen,Enhanced Due Diligence,Further Review,10,Additional documentation or review required.
REV00069,APP00710,C00710,2025-07-17,Maria Heikkinen,AML,Further Review,7,Additional documentation or review required.
REV00070,APP00746,C00746,2025-12-20,Sanna Virtanen,KYC,Further Review,6,Additional documentation or review required.
REV00071,APP00801,C00801,2025-07-05,Sanna Virtanen,Sanctions Screening,Approved,3,Compliance review completed successfully.
REV00072,APP00820,C00820,2025-11-08,Maria Heikkinen,AML,Approved,7,Compliance review completed successfully.
REV00073,APP00822,C00822,2025-06-25,Maria Heikkinen,Enhanced Due Diligence,Further Review,13,Additional documentation or review required.
