Application_ID,Customer_ID,Application_Date,Branch_ID,RM_ID,Account_Type,Customer_Type,Risk_Level,KYC_Status,Approval_Status,Processing_Days,Escalation,Escalation_Reason
APP00001,C00001,2025-04-25,B009,RM018,Savings,Individual,Low,Completed,Approved,6,No,
APP00002,C00002,2025-08-18,B006,RM013,Savings,Individual,Low,Completed,Approved,5,No,
APP00003,C00003,2025-11-28,B008,RM017,Premium,Individual,Low,Completed,Approved,9,No,
APP00004,C00004,2025-09-02,B009,RM019,Business,Business,Medium,Completed,Approved,5,Yes,KYC Documentation
APP00005,C00005,2025-03-28,B003,RM006,Savings,Individual,Low,Completed,Approved,6,No,
APP00006,C00006,2025-08-27,B007,RM014,Savings,Individual,Low,Completed,Approved,2,No,
APP00007,C00007,2025-04-14,B001,RM001,Savings,Individual,High,Completed,Approved,2,No,
APP00008,C00008,2025-08-10,B005,RM010,Current,Individual,Low,Completed,Approved,6,No,
APP00009,C00009,2025-06-04,B003,RM007,Current,Individual,High,Completed,Approved,7,No,
APP00010,C00010,2025-06-12,B004,RM009,Current,Business,Medium,Completed,Approved,6,No,
APP00011,C00011,2025-04-01,B008,RM017,Premium,Individual,Medium,Completed,Approved,9,Yes,Sanctions Screening
APP00012,C00012,2025-12-28,B010,RM020,Savings,Individual,Low,Completed,Approved,7,No,
APP00013,C00013,2025-05-18,B008,RM016,Current,Individual,Low,Pending,Pending,8,No,
APP00014,C00014,2025-11-15,B004,RM008,Premium,Individual,High,Completed,Approved,8,No,
APP00015,C00015,2025-10-28,B004,RM008,Premium,Individual,Low,Completed,Approved,4,No,
APP00016,C00016,2025-12-19,B001,RM002,Current,Individual,Low,Completed,Approved,5,No,
APP00017,C00017,2025-06-21,B008,RM016,Savings,Individual,Low,Completed,Approved,10,No,
APP00018,C00018,2025-02-20,B008,RM017,Current,Individual,Low,Pending,Pending,8,No,
APP00019,C00019,2025-01-11,B001,RM001,Savings,Individual,Low,Pending,Pending,8,No,
APP00020,C00020,2025-05-22,B002,RM005,Current,Individual,Medium,Completed,Approved,5,No,
APP00021,C00021,2025-01-26,B002,RM004,Savings,Individual,Low,Completed,Approved,4,No,
